,City,Cloud,Humidity,Lat,Lon,Temp,Wind
479,Alamos,64,72,-36.9,-62.36,56.08,0.94
480,Rawson,0,31,-43.3,-65.11,68.23,13.24
481,Mirnyy,76,94,56.57,36.46,28.99,16.26
482,Nizwa,0,70,22.93,57.53,52.48,4.18
483,Leh,36,83,34.16,77.58,4.69,0.83
484,Pathein,0,73,16.78,94.73,83.8,4.63
485,Seoul,40,54,37.57,126.98,42.8,3.36
486,Chipinge,12,97,-20.19,32.62,65.89,3.4
487,Thinadhoo,68,100,0.53,72.93,84.16,13.47
488,Ust-Barguzin,8,73,53.41,109.03,37.99,2.17
489,Alice Springs,0,28,-23.7,133.88,86.0,13.87
490,Velsk,88,89,61.07,42.1,20.17,9.44
491,Dire Dawa,68,86,9.59,41.86,52.66,2.84
492,Nadvoitsy,64,80,63.89,34.27,16.48,9.22
493,Menongue,76,100,-14.66,17.68,62.29,1.61
494,Kabare,0,100,-1.65,29.38,49.69,2.39
495,Palmer,1,34,61.6,-149.11,37.4,6.93
496,Kamenka,76,89,53.19,44.05,19.18,8.88
497,San Andres,56,100,13.32,122.68,79.84,23.31
498,Porterville,75,82,36.07,-119.02,66.2,6.93
499,Sabaudia,0,60,41.3,13.03,39.2,5.82
500,Black River,75,78,18.03,-77.85,80.6,13.87
501,Benghazi,40,54,32.12,20.07,55.4,14.99
502,Kedougou,0,53,12.56,-12.19,68.68,4.07
503,Kawalu,0,81,-7.38,108.21,76.96,3.06
504,La Rioja,0,65,-29.41,-66.86,65.62,2.95
505,Amiens,90,86,49.89,2.3,41.0,8.05
506,Tawang,44,68,27.59,91.87,40.6,1.72
507,Fort Collins,90,66,40.55,-105.07,68.0,4.41
508,Northam,75,100,51.04,-4.21,44.6,18.34
509,Goderich,0,81,43.74,-81.71,23.86,10.78
510,Ilulissat,48,70,69.22,-51.1,-0.41,16.11
511,Angoche,92,100,-16.23,39.91,80.65,6.2
512,Changji,0,72,32.07,116.17,67.6,4.52
513,Gariaband,0,30,20.63,82.06,83.17,3.29
514,San Patricio,32,76,-26.98,-56.83,76.6,3.29
515,Itarema,80,91,-2.92,-39.92,78.31,6.87
516,Zanesville,1,47,39.94,-82.01,33.8,3.36
517,Luang Prabang,75,83,19.89,102.14,69.8,1.83
518,Guerrero Negro,92,65,27.97,-114.04,66.34,4.18
519,Talnakh,8,67,69.49,88.39,-23.21,3.06
520,Kendari,8,71,-3.99,122.52,87.58,6.98
521,Puerto Colombia,40,88,10.99,-74.96,80.6,17.22
522,Neryungri,76,68,56.66,124.71,23.23,9.78
523,Ponta Delgada,40,93,37.73,-25.67,60.8,13.87
524,Beyneu,92,80,45.32,55.19,35.38,17.16
525,Vila Franca do Campo,40,93,37.72,-25.43,60.8,13.87
526,Yar-Sale,0,76,66.83,70.83,-25.1,7.87
527,Yanam,0,75,16.73,82.22,83.62,3.96
528,Simao,12,88,22.76,100.79,65.62,2.95
529,Margate,75,52,-43.03,147.26,66.2,12.75
530,Destin,1,29,30.39,-86.5,62.6,9.17
531,Neepawa,75,86,50.23,-99.46,30.2,10.29
532,Esmeraldas,0,93,-19.76,-44.31,69.8,1.12
533,Bela,0,63,26.23,66.31,60.49,1.72
534,Atasu,80,93,48.68,71.64,31.51,16.49
535,Kampene,32,98,-3.59,26.67,66.97,1.39
536,Morgan City,1,67,29.7,-91.21,60.8,5.82
537,Hualmay,32,88,-11.1,-77.61,66.7,1.28
538,Takaka,92,100,-40.86,172.81,57.25,11.68
539,Ulladulla,75,68,-35.36,150.48,69.8,5.82
540,Giddalur,0,59,15.38,78.93,84.07,4.18
541,San Roque,56,100,0.3,-78.23,49.33,1.61
542,Koslan,76,86,63.46,48.9,9.91,3.4
543,Meulaboh,32,100,4.14,96.13,82.09,6.2
544,Coihaique,75,93,-45.58,-72.07,48.2,9.17
545,Mahibadhoo,0,98,3.78,72.97,84.43,10.0
546,Gay,90,85,51.47,58.44,21.2,15.66
547,Lata,0,65,30.78,78.62,46.54,2.06
548,Tongliao,92,44,43.61,122.27,47.89,6.42
549,Aklavik,20,55,68.22,-135.01,10.4,4.52
550,Okhansk,0,84,57.72,55.39,6.8,6.71
